Date,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
01/01/16,1,28,Male,C23,Master,57387,24/12/15,,1,1,2381060,2
01/02/16,1,28,Male,C23,Master,57387,24/12/15,,1,1,-665480,2
01/03/16,1,28,Male,C23,Master,57387,24/12/15,11/03/16,1,1,0,2
01/11/17,2,31,Male,C7,Master,67016,06/11/17,,2,2,0,1
01/12/17,2,31,Male,C7,Master,67016,06/11/17,,2,2,0,1
01/12/16,4,43,Male,C13,Master,65603,07/12/16,,2,2,0,1
01/01/17,4,43,Male,C13,Master,65603,07/12/16,,2,2,0,1
01/02/17,4,43,Male,C13,Master,65603,07/12/16,,2,2,0,1
01/03/17,4,43,Male,C13,Master,65603,07/12/16,,2,2,350000,1
01/04/17,4,43,Male,C13,Master,65603,07/12/16,27/04/17,2,2,0,1
01/01/16,5,29,Male,C9,College,46368,09/01/16,,1,1,0,1
01/02/16,5,29,Male,C9,College,46368,09/01/16,,1,1,120360,1
01/03/16,5,29,Male,C9,College,46368,09/01/16,07/03/16,1,1,0,1
01/08/17,6,31,Female,C11,Bachelor,78728,31/07/17,,3,3,0,1
01/09/17,6,31,Female,C11,Bachelor,78728,31/07/17,,3,3,0,1
01/10/17,6,31,Female,C11,Bachelor,78728,31/07/17,,3,3,0,2
01/11/17,6,31,Female,C11,Bachelor,78728,31/07/17,,3,3,1265000,2
01/12/17,6,31,Female,C11,Bachelor,78728,31/07/17,,3,3,0,2
01/09/17,8,34,Male,C2,College,70656,19/09/17,,3,3,0,1
01/10/17,8,34,Male,C2,College,70656,19/09/17,,3,3,0,1
01/11/17,8,34,Male,C2,College,70656,19/09/17,15/11/17,3,3,0,1
01/12/17,11,28,Female,C19,Master,42172,07/12/17,,1,1,0,1
01/07/16,12,35,Male,C23,Master,28116,29/06/16,,1,1,500000,4
01/08/16,12,35,Male,C23,Master,28116,29/06/16,,1,1,1707180,4
01/09/16,12,35,Male,C23,Master,28116,29/06/16,,1,1,400000,4
01/10/16,12,35,Male,C23,Master,28116,29/06/16,,1,1,0,1
01/11/16,12,35,Male,C23,Master,28116,29/06/16,,1,1,0,1
01/12/16,12,35,Male,C23,Master,28116,29/06/16,21/12/16,1,1,0,1
01/01/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,250000,1
01/02/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,1719680,1
01/03/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,545240,1
01/04/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,250000,2
01/05/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,895510,2
01/06/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,0,2
01/07/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,350650,2
01/08/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,708360,2
01/09/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,1190290,2
01/10/16,13,29,Male,C19,Master,119227,28/05/12,,1,4,0,1
01/11/16,13,30,Male,C19,Master,119227,28/05/12,,1,4,200000,1
01/12/16,13,30,Male,C19,Master,119227,28/05/12,,1,4,300000,1
01/01/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,151110,1
01/02/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,200000,1
01/03/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,1593590,1
01/04/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,0,1
01/05/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,400000,1
01/06/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,258610,1
01/07/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,150000,1
01/08/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,500000,1
