INSTRUMENTO,FECHA,TIPO VALOR,PRECIO SUCIO,PRECIO LIMPIO,DIAS X VENCER,RENDIMIENTO,TASA CUPON
M_BONOS_170615,30/12/2016,M,99.651517,99.443184,167,6.23,0.05
M_BONOS_171214,30/12/2016,M,101.539659,101.216742,349,6.43,0.0775
M_BONOS_180614,30/12/2016,M,97.377358,97.179441,531,6.79,0.0475
M_BONOS_181213,30/12/2016,M,103.337657,102.98349,713,6.86,0.085
M_BONOS_191211,30/12/2016,M,95.02387,94.815537,1076,6.95,0.05
M_BONOS_200611,30/12/2016,M,103.196129,102.862796,1259,7.06,0.08
M_BONOS_210610,30/12/2016,M,97.724242,97.453409,1623,7.17,0.065
M_BONOS_220609,30/12/2016,M,96.77299,96.502157,1987,7.28,0.065
M_BONOS_231207,30/12/2016,M,104.070742,103.737409,2533,7.31,0.08
M_BONOS_241205,30/12/2016,M,116.029193,115.612526,2897,7.39,0.1
M_BONOS_260305,30/12/2016,M,90.472353,88.779297,3352,7.44,0.0575
M_BONOS_270603,30/12/2016,M,99.875663,99.563163,3807,7.56,0.075
M_BONOS_290531,30/12/2016,M,106.892356,106.538189,4535,7.68,0.085
M_BONOS_310529,30/12/2016,M,100.317262,99.994345,5263,7.75,0.0775
M_BONOS_341123,30/12/2016,M,99.548866,99.225949,6537,7.83,0.0775
M_BONOS_361120,30/12/2016,M,121.888595,121.471928,7265,7.86,0.1
M_BONOS_381118,30/12/2016,M,106.473827,106.11966,7993,7.91,0.085
M_BONOS_421113,30/12/2016,M,99.541652,99.218735,9449,7.82,0.0775
M_BONOS_170615,02/01/2017,M,99.702468,99.452468,164,6.23,0.05
M_BONOS_171214,02/01/2017,M,101.611759,101.224259,346,6.41,0.0775
M_BONOS_180614,02/01/2017,M,97.431548,97.194048,528,6.79,0.0475
M_BONOS_181213,02/01/2017,M,103.395747,102.970747,710,6.86,0.085
M_BONOS_191211,02/01/2017,M,95.026665,94.776665,1073,6.97,0.05
M_BONOS_200611,02/01/2017,M,103.193846,102.793846,1256,7.08,0.08
M_BONOS_210610,02/01/2017,M,97.744318,97.419318,1620,7.18,0.065
M_BONOS_220609,02/01/2017,M,96.830661,96.505661,1984,7.28,0.065
M_BONOS_231207,02/01/2017,M,104.18849,103.78849,2530,7.3,0.08
M_BONOS_241205,02/01/2017,M,116.165046,115.665046,2894,7.38,0.1
M_BONOS_260305,02/01/2017,M,90.465898,88.724926,3349,7.45,0.0575
M_BONOS_270603,02/01/2017,M,99.937431,99.562431,3804,7.56,0.075
M_BONOS_290531,02/01/2017,M,106.959493,106.534493,4532,7.68,0.085
M_BONOS_310529,02/01/2017,M,100.380834,99.993334,5260,7.75,0.0775
M_BONOS_341123,02/01/2017,M,99.612589,99.225089,6534,7.83,0.0775
M_BONOS_361120,02/01/2017,M,121.966912,121.466912,7262,7.86,0.1
M_BONOS_381118,02/01/2017,M,106.542667,106.117667,7990,7.91,0.085
M_BONOS_421113,02/01/2017,M,99.495286,99.107786,9446,7.83,0.0775
M_BONOS_170615,03/01/2017,M,99.719458,99.455569,163,6.23,0.05
M_BONOS_171214,03/01/2017,M,101.592587,101.183559,345,6.45,0.0775
M_BONOS_180614,03/01/2017,M,97.342066,97.091372,527,6.87,0.0475
M_BONOS_181213,03/01/2017,M,103.322724,102.874113,709,6.91,0.085
M_BONOS_191211,03/01/2017,M,94.942311,94.678422,1072,7.01,0.05
M_BONOS_200611,03/01/2017,M,103.028326,102.606104,1255,7.14,0.08
M_BONOS_210610,03/01/2017,M,97.428734,97.085678,1619,7.27,0.065
M_BONOS_220609,03/01/2017,M,96.544094,96.201038,1983,7.35,0.065
M_BONOS_231207,03/01/2017,M,103.491143,103.068921,2529,7.43,0.08
M_BONOS_241205,03/01/2017,M,115.33856,114.810782,2893,7.51,0.1
M_BONOS_260305,03/01/2017,M,89.750113,87.993169,3348,7.57,0.0575
M_BONOS_270603,03/01/2017,M,99.10276,98.706927,3803,7.68,0.075
M_BONOS_290531,03/01/2017,M,106.153461,105.70485,4531,7.78,0.085
M_BONOS_310529,03/01/2017,M,99.541802,99.132774,5259,7.85,0.0775
M_BONOS_341123,03/01/2017,M,98.403766,97.994738,6533,7.96,0.0775
M_BONOS_361120,03/01/2017,M,120.378248,119.85047,7261,8,0.1
M_BONOS_381118,03/01/2017,M,105.380081,104.93147,7989,8.02,0.085
M_BONOS_421113,03/01/2017,M,97.889735,97.480707,9445,7.98,0.0775
M_BONOS_170615,04/01/2017,M,99.706002,99.428224,162,6.3,0.05
M_BONOS_171214,04/01/2017,M,101.573645,101.143089,344,6.49,0.0775
M_BONOS_180614,04/01/2017,M,97.346919,97.08303,526,6.88,0.0475
M_BONOS_181213,04/01/2017,M,103.286908,102.814686,708,6.94,0.085
