Y,X1,X2
1,0.180878062,0.960920283
1,0.976427835,0.897039792
0,0.096081408,0.198300816
0,0.362736571,0.09751608
0,0.340268039,0.212985817
0,0.11096353,0.810549967
0,0.098567761,0.423863536
1,0.85737083,0.944060836
1,0.826303621,0.282374355
1,0.776290548,0.641608774
1,0.764313835,0.983227138
1,0.844734834,0.535849138
1,0.833195849,0.399506779
0,0.195268936,0.575928765
1,0.681793855,0.532671977
1,0.545394558,0.685460066
0,0.614749012,0.352988675
1,0.274447777,0.78378163
0,0.758496346,0.059263333
0,0.097551166,0.487688486
