Y,Edad,Salario,Antiguedad
Platino,46,55354,14
Platino,54,51978,28
Basica,33,26505,11
Basica,35,49778,4
Basica,59,5449,24
Platino,64,45204,25
Oro,63,31532,1
Basica,18,22970,24
Basica,41,28952,19
Platino,54,53267,8
Basica,33,20396,23
Basica,63,8636,17
Basica,42,7519,18
Basica,40,26242,4
Basica,34,28074,10
Basica,56,19756,25
Basica,31,46171,19
Platino,56,56409,19
Platino,42,30996,23
Basica,28,39534,27
Basica,25,28232,26
Basica,39,36451,22
Basica,35,9912,3
Basica,28,28497,14
Basica,18,8491,10
Platino,52,51182,22
Platino,60,36254,29
Basica,55,19893,2
Basica,33,14022,15
Basica,21,32462,16
Platino,41,41561,11
Basica,28,43928,19
Platino,59,39485,25
Oro,55,39014,0
Basica,48,29090,18
Basica,25,54635,26
Platino,41,36874,8
Basica,20,39149,13
Basica,55,12703,17
Basica,25,37357,5
Platino,61,42731,21
Basica,24,28149,21
Basica,19,58983,11
Basica,50,12150,5
Basica,36,12680,20
Basica,37,55028,27
Basica,18,20984,26
Platino,60,37476,17
Platino,58,57946,7
Basica,25,23716,23
Basica,60,17790,0
Basica,35,32308,26
Basica,54,13584,29
Basica,39,42525,24
Platino,62,57168,8
Basica,62,7417,12
Basica,30,29932,11
Platino,58,58814,25
Basica,32,39111,12
Platino,55,41178,20
Basica,31,43644,27
Basica,19,10080,7
Basica,20,31904,17
Basica,34,44871,15
Basica,43,21666,2
Platino,53,49832,9
Platino,53,38179,29
Basica,37,17037,25
Platino,48,47578,5
Platino,60,58085,26
Basica,30,30007,26
Basica,20,51644,25
Basica,18,31881,28
Basica,54,8042,7
Basica,28,11055,12
Basica,39,57737,13
Basica,30,36054,5
Basica,52,24113,26
Oro,50,54802,1
Basica,24,26262,30
Basica,22,39598,24
Basica,31,40293,15
Basica,31,59640,2
Basica,32,57680,4
Basica,30,50589,3
Basica,42,6848,10
Basica,38,43080,21
Basica,62,6181,23
Platino,53,42364,10
Basica,22,57206,8
Basica,25,27033,9
Basica,39,56583,22
Basica,30,19105,27
Basica,35,47236,5
Platino,63,30199,7
Platino,50,48162,17
Basica,28,8110,8
Platino,65,46539,20
Basica,33,39608,20
Platino,55,35663,10
