Y,X
0,-1
0.14106736,-0.99
0.198997487,-0.98
0.243104916,-0.97
0.28,-0.96
0.3122499,-0.95
0.341174442,-0.94
0.367559519,-0.93
0.391918359,-0.92
0.414608249,-0.91
0.435889894,-0.9
0.455960525,-0.89
0.474973683,-0.88
0.493051721,-0.87
0.510294033,-0.86
0.526782688,-0.85
0.542586399,-0.84
0.557763391,-0.83
0.572363521,-0.82
0.586429876,-0.81
0.6,-0.8
0.613106842,-0.79
0.625779514,-0.78
0.638043886,-0.77
0.649923072,-0.76
0.661437828,-0.75
0.672606869,-0.74
0.683447145,-0.73
0.693974063,-0.72
0.704201676,-0.71
0.714142843,-0.7
0.723809367,-0.69
0.733212111,-0.68
0.742361098,-0.67
0.751265599,-0.66
0.759934208,-0.65
0.768374908,-0.64
0.776595133,-0.63
0.78460181,-0.62
0.792401413,-0.61
0.8,-0.6
0.807403245,-0.59
0.814616474,-0.58
0.821644692,-0.57
0.828492607,-0.56
0.835164654,-0.55
0.841665017,-0.54
0.847997642,-0.53
0.85416626,-0.52
0.860174401,-0.51
0.866025404,-0.5
0.871722433,-0.49
0.877268488,-0.48
0.882666415,-0.47
0.887918915,-0.46
0.893028555,-0.45
0.897997773,-0.44
0.902828887,-0.43
0.907524104,-0.42
0.912085522,-0.41
0.916515139,-0.4
0.920814857,-0.39
0.924986486,-0.38
0.929031754,-0.37
0.932952303,-0.36
0.9367497,-0.35
0.940425436,-0.34
0.943980932,-0.33
0.947417543,-0.32
0.950736557,-0.31
0.953939201,-0.3
0.957026645,-0.29
0.96,-0.28
0.962860322,-0.27
0.965608616,-0.26
0.968245837,-0.25
0.970772888,-0.24
0.973190629,-0.23
0.975499872,-0.22
0.977701386,-0.21
0.979795897,-0.2
0.98178409,-0.19
0.98366661,-0.18
0.985444062,-0.17
0.987117014,-0.16
0.988685997,-0.15
0.990151504,-0.14
0.991513994,-0.13
0.992773892,-0.12
0.993931587,-0.11
0.994987437,-0.1
0.995941765,-0.09
0.996794864,-0.08
0.997546991,-0.07
0.998198377,-0.06
0.998749218,-0.05
0.99919968,-0.04
0.999549899,-0.03
0.99979998,-0.02
0.999949999,-0.01
1,0
0.999949999,0.01
0.99979998,0.02
0.999549899,0.03
0.99919968,0.04
0.998749218,0.05
0.998198377,0.06
0.997546991,0.07
0.996794864,0.08
0.995941765,0.09
0.994987437,0.1
0.993931587,0.11
0.992773892,0.12
0.991513994,0.13
0.990151504,0.14
0.988685997,0.15
0.987117014,0.16
0.985444062,0.17
0.98366661,0.18
0.98178409,0.19
0.979795897,0.2
0.977701386,0.21
0.975499872,0.22
0.973190629,0.23
0.970772888,0.24
0.968245837,0.25
0.965608616,0.26
0.962860322,0.27
0.96,0.28
0.957026645,0.29
0.953939201,0.3
0.950736557,0.31
0.947417543,0.32
0.943980932,0.33
0.940425436,0.34
0.9367497,0.35
0.932952303,0.36
0.929031754,0.37
0.924986486,0.38
0.920814857,0.39
0.916515139,0.4
0.912085522,0.41
0.907524104,0.42
0.902828887,0.43
0.897997773,0.44
0.893028555,0.45
0.887918915,0.46
0.882666415,0.47
0.877268488,0.48
0.871722433,0.49
0.866025404,0.5
0.860174401,0.51
0.85416626,0.52
0.847997642,0.53
0.841665017,0.54
0.835164654,0.55
0.828492607,0.56
0.821644692,0.57
0.814616474,0.58
0.807403245,0.59
0.8,0.6
0.792401413,0.61
0.78460181,0.62
0.776595133,0.63
0.768374908,0.64
0.759934208,0.65
0.751265599,0.66
0.742361098,0.67
0.733212111,0.68
0.723809367,0.69
0.714142843,0.7
0.704201676,0.71
0.693974063,0.72
0.683447145,0.73
0.672606869,0.74
0.661437828,0.75
0.649923072,0.76
0.638043886,0.77
0.625779514,0.78
0.613106842,0.79
0.6,0.8
0.586429876,0.81
0.572363521,0.82
0.557763391,0.83
0.542586399,0.84
0.526782688,0.85
0.510294033,0.86
0.493051721,0.87
0.474973683,0.88
0.455960525,0.89
0.435889894,0.9
0.414608249,0.91
0.391918359,0.92
0.367559519,0.93
0.341174442,0.94
0.3122499,0.95
0.28,0.96
0.243104916,0.97
0.198997487,0.98
0.14106736,0.99
0,1
