Fecha,Institucion,ICAP,Capital Neto reg. vig. dic 2012,Capital Neto Vigente,Operaciones Sujetas a Riesgo,RC Total,RC x riesgo de Credito,RC x riesgo de Mercado,RC x riesgo Operacional,RC x riesgo de Filiales del Exterior
31/01/20,A AFIRME,11.3,579.75,554.19,4903.25,392.26,88.67,6.21,5.11,0
31/01/20,ABANCREA,19.42,139.76,139.76,719.66,57.57,88.72,11.28,0,0
31/01/20,ABC CAPITAL,11.24,990.57,736.44,6551.28,524.1,84.83,3.27,11.9,0
31/01/20,ACCENDO BANCO,10.96,571.41,494.7,4515.37,361.23,74.6,17.89,7.51,0
31/01/20,ACTINVER,13.4,3426.42,3347.61,24986.66,1998.93,77.94,7.83,14.22,0
31/01/20,AFIRME,13.25,4789.08,6805.15,51375.48,4110.04,78.37,7.27,14.36,0
31/01/20,AMERICAN EXPRESS,23.57,6959.71,6156.94,26116.63,2089.33,61.11,0.38,38.5,0
31/01/20,ARBASE,13.43,72.95,65.59,488.41,39.07,92.4,5.72,1.89,0
31/01/20,ARR BANAMEX,292.02,717.45,717.29,245.63,19.65,58.7,10.03,31.27,0
31/01/20,ARR. Y FACT. BANORTE,17.58,5929.66,5889.59,33504.55,2680.36,88.88,6.24,4.89,0
31/01/20,ARRENDADORA BX+,10.46,778.18,561.69,5372.41,429.79,89.43,5.16,5.41,0
31/01/20,AUTOFIN,12.64,703.99,690.43,5460.53,436.84,86.88,6.24,6.88,0
31/01/20,AYF BANORTE,23.18,2502.28,2066.46,8913.16,713.05,88.64,7.33,4.04,0
31/01/20,AZTECA,15.9,21592.3,21532.13,135383.54,10830.68,77.47,9.73,12.8,0
31/01/20,BAJÍO,16.25,29495.52,29400.88,180967.01,14477.36,84.07,5.65,10.28,0
31/01/20,BANAMEX,14.69,118256.37,124131.53,845175.83,67614.07,72.23,18.44,9.33,0
31/01/20,BANCO KEB HANA,231.17,1576.64,1576.64,682.04,54.56,52.1,29.82,18.07,0
31/01/20,BANCO S3,136.92,1424.4,1326.17,968.6,77.49,23.86,0.72,75.42,0
31/01/20,BANCOPPEL,20.43,11634.19,11806.43,57783.47,4622.68,50.19,15.4,34.41,0
31/01/20,BANCREA,13.72,1477.85,2167.97,15801.29,1264.1,89.89,4.71,5.4,0
31/01/20,BANK OF AMERICA,18.25,10183.42,10183.42,55789.81,4463.18,43.83,46.51,9.66,0
31/01/20,BANK OF CHINA,66.91,742.86,720.84,1077.31,86.18,82.67,2.09,15.25,0
31/01/20,BANKAOOL,13.24,484.93,482.39,3644.56,291.56,90.19,4.2,5.6,0
31/01/20,BANORTE,19,112230.68,151551.71,797481.26,63798.5,77.99,13.83,8.17,0
31/01/20,BANREGIO,13.63,15285.7,15542.46,114072.74,9125.82,84.02,5.81,10.17,0
31/01/20,BANSI,17.34,2832.96,2882.06,16618.79,1329.5,82.66,4.15,13.19,0
31/01/20,BARCLAYS,18.65,6297.1,6297.1,33769.38,2701.55,86.87,7.66,5.48,0
31/01/20,BASE,14.16,2561.77,2561.77,18094.63,1447.57,75.28,6.04,18.68,0
31/01/20,BBVA BANCOMER,15.45,231249.81,259412.44,1679368.13,134349.45,65.88,28.33,5.79,0
31/01/20,BIAFIRME,14.43,779.52,1130,7831.1,626.49,6.87,90.49,2.65,0
31/01/20,CIBANCO,13.97,2923.88,2924.57,20938.56,1675.08,65.85,4.91,29.25,0
31/01/20,COMERCIOSA,38.2,35.03,31.42,82.25,6.58,12.88,0.82,86.3,0
31/01/20,COMPARTAMOS,34.8,11508.67,11191.28,32156.17,2572.49,82.58,12.28,5.15,0
31/01/20,CONSUBANCO,22.19,2758.21,2758.21,12431.28,994.5,68.36,8.2,23.45,0
31/01/20,CONSUPAGO,72.8,172.69,169.84,233.28,18.66,99.89,0.11,0,0
31/01/20,CREDIT SUISSE,14.92,1986.52,1787.78,11984.83,958.79,66.09,20.84,13.07,0
31/01/20,CREDITO FAMLIAR SCOT,19.96,1054.86,898.35,4501.29,360.1,85.49,10.29,4.22,0
31/01/20,DEUTSCHE BANK,165.18,1672.66,1672.66,1012.61,81.01,22.24,8.77,68.99,0
31/01/20,F AFIRME,16.54,105.48,92.52,559.34,44.75,97.43,0.75,1.83,0
31/01/20,FAMSA,10.7,3514.86,3964.47,37048.2,2963.86,92.56,2.18,5.26,0
31/01/20,FC FINANCIAL,16.43,4877.79,4420.12,26908.16,2152.65,82.91,9.85,7.24,0
31/01/20,FINANMADRID,13.64,148.4,139.1,1019.54,81.56,68.57,15.6,15.83,0
31/01/20,FINTERRA,15.96,509.33,417.84,2618.19,209.46,81.59,5.42,12.98,0
31/01/20,FORJADORES,30.16,400.77,341.97,1133.81,90.71,52.84,1.24,45.92,0
31/01/20,FUNDACIÓN DONDÉ,56.97,353.67,353.67,620.84,49.67,73.85,1.53,24.63,0
31/01/20,GRAMEEN CARSO,18,83.26,70.55,391.9,31.35,79.01,5.56,15.43,0
31/01/20,HSBC,13.87,57148.23,69269.3,499381.95,39950.56,83.13,11.03,5.84,0
31/01/20,ICBC,27.09,1004.46,1330.61,4912.64,393.01,90.79,2.15,7.06,0
31/01/20,INBURSA,18.25,74916.85,70744.52,387724.14,31017.93,61.3,32.62,6.07,0
31/01/20,INMOBILIARIO MEXICANO,12.95,1051.26,958.85,7406.23,592.5,87.48,2.73,9.79,0
31/01/20,INTERCAM,14.04,2373.56,2302.16,16393.98,1311.52,65.84,1.97,32.2,0
31/01/20,INTERCAM INC,99.73,19.11,19.11,19.16,1.53,99.97,0.03,0,0
31/01/20,INVEX,17.35,5832.36,5596.22,32264,2581.12,70.89,11.52,17.6,0
31/01/20,INVEX CONSUMO,11.11,656.75,493.99,4448.22,355.86,70.31,0.15,29.54,0
31/01/20,JP MORGAN,17.48,9806.17,11367.86,65037.11,5202.97,59.36,34.5,6.14,0
31/01/20,METROFINANCIERA,14.84,1594.5,1481.76,9987.35,798.99,76.72,15.53,7.75,0
31/01/20,MIFEL,13.51,8491.83,6863.62,50803.49,4064.28,81.88,11.19,6.94,0
31/01/20,MIFEL SOFOMER,25.14,442.34,393.84,1566.86,125.35,88.13,6.82,5.06,0
31/01/20,MIZUHO,91.11,2658.14,2638.82,2896.27,231.7,78.67,1.05,20.28,0
31/01/20,MONEX,15.81,7079.81,6541.19,41363.43,3309.07,73.95,8.69,17.36,0
31/01/20,MUFG,34.26,5657.69,5534.46,16156.09,1292.49,82.45,3.28,14.27,0
31/01/20,MULTIVA,14.75,6570.68,6210.46,42112.21,3368.98,81.42,6.62,11.95,0
31/01/20,OPCIPRES,761.4,209.05,209.05,27.46,2.2,98.31,1.69,0,0
31/01/20,PAGATODO,316.64,274.29,245.08,77.4,6.19,54.7,0.68,44.62,0
31/01/20,S CONSUMO,22.61,18551.52,18590.36,82225.29,6578.02,91.03,3.96,5,0
31/01/20,SABADELL,13.4,10234.97,9073.17,67700.37,5416.03,94.96,1.9,3.15,0
31/01/20,SABCAPITAL,15.32,4195.46,3923.8,25605.27,2048.42,90.15,0.95,8.9,0
31/01/20,SANTANDER,16.66,97971.9,126779.35,761185.9,60894.87,69.21,23.27,7.52,0
31/01/20,SANTANDER INCLUSIÓN FINANCIERA,28.8,171.87,171.87,596.77,47.74,72.46,6.25,21.29,0
31/01/20,SANTANDER VIVIENDA,11.89,8028.93,7872.48,66237.38,5298.99,72.68,23.96,3.37,0
31/01/20,SCOTIABANK,13.93,46706.33,55427.95,397957.2,31836.58,89.32,7,3.68,0
31/01/20,SHINHAN,63.04,1492.67,1450.21,2300.56,184.04,86.36,3.02,10.62,0
31/01/20,SOFOM AYUDAMOS,51.6,106.13,106.13,205.7,16.46,10.52,0.13,89.35,0
31/01/20,SOFOM BAJÍO,17.02,1943.58,1937.96,11388.14,911.05,88.05,4.23,7.72,0
31/01/20,SOFOM BANAMEX,13.41,15617.91,15617.91,116483.63,9318.69,95.34,0.23,4.43,0
31/01/20,SOFOM INBURSA,21.87,15367.37,12211.37,55843.2,4467.46,64.04,10.71,25.25,0
31/01/20,START BANREGIO,16.84,3234.12,3052.34,18121.8,1449.74,89.99,8.67,1.33,0
31/01/20,VE POR MÁS,12.96,4502.34,5033.5,38841.52,3107.32,77.27,14.78,7.95,0
31/01/20,VW BANK,21.23,1669.1,1669.1,7861.49,628.92,58.41,31.84,9.75,0
29/02/20,A AFIRME,11.31,585.82,564.68,4994.82,399.59,87.13,7.75,5.13,0
29/02/20,ABANCREA,17.16,141.03,141.03,821.92,65.75,81.74,9.74,8.52,0
29/02/20,ABC CAPITAL,11.17,988.4,732.9,6562.71,525.02,84.87,3.27,11.87,0
29/02/20,ACCENDO BANCO,10.56,539.02,454.21,4303.06,344.24,73.86,18.27,7.86,0
29/02/20,ACTINVER,13.56,3431.01,3346.92,24683.78,1974.7,78.78,6.64,14.58,0
29/02/20,AFIRME,13.19,4820.6,6819.89,51714.29,4137.14,78.42,7.24,14.34,0
29/02/20,AMERICAN EXPRESS,23.93,7115.44,6303.36,26335.52,2106.84,61.14,0.38,38.48,0
29/02/20,ARBASE,14.11,77.4,69.1,489.59,39.17,92.85,5.13,2.03,0
29/02/20,ARR BANAMEX,292.51,720.67,720.2,246.21,19.7,58.56,10.45,30.99,0
29/02/20,ARR. Y FACT. BANORTE,15.29,5283.38,5244.16,34301.6,2744.13,82.77,12.42,4.81,0
29/02/20,ARRENDADORA BX+,10.5,787.38,568.24,5413.99,433.12,89.42,5.09,5.49,0
29/02/20,AUTOFIN,12.21,713.81,698.72,5724.39,457.95,83.48,9.99,6.53,0
29/02/20,AYF BANORTE,23.72,2467.86,2041.9,8610.1,688.81,88.08,7.97,3.95,0
29/02/20,AZTECA,16.05,21661.81,21636.09,134806.4,10784.51,76.56,10.39,13.06,0
29/02/20,BAJÍO,16.44,29876.41,29741.47,180866.19,14469.3,84.07,5.54,10.39,0
29/02/20,BANAMEX,14.28,118452.24,124289.82,870582.39,69646.59,71.33,19.55,9.12,0
29/02/20,BANCO KEB HANA,231.54,1580.21,1579.94,682.37,54.59,53.42,27.25,19.33,0
29/02/20,BANCO S3,137.97,1434.65,1341.37,972.23,77.78,24.94,0.48,74.58,0
29/02/20,BANCOPPEL,20.93,11664.92,11837.8,56569,4525.52,52.26,12.32,35.42,0
29/02/20,BANCREA,13.88,1480.51,2185.04,15736.83,1258.95,89.88,4.6,5.52,0
29/02/20,BANK OF AMERICA,16.62,10114.49,10114.49,60850.46,4868.04,32.24,56.35,11.41,0
29/02/20,BANK OF CHINA,60.6,738.66,716.65,1182.68,94.61,84.22,1.99,13.8,0
29/02/20,BANKAOOL,12.73,477.17,474.67,3728.74,298.3,90.81,3.72,5.47,0
29/02/20,BANORTE,19.34,113549.81,154640.98,799769.9,63981.59,79.2,12.58,8.22,0
